"General","장군"
"I can't believe ","믿을 수가 없어 "
" is dead?"," 죽었어?"
"It is drinking the blood of the living.","산 자의 피를 마시는 것입니다."
"It feeds on blood.","피를 먹고 산다."
"Has the tide turned?","흐름이 바뀌었나요?"
"In the midst of conflict...","갈등의 와중에..."
"This is a fight!","이것은 싸움이다!"
"The battle rages...","전투가 격렬해집니다..."
"How fragile we are...","우리가 얼마나 연약한지..."
"How fleeting life is...","인생이 얼마나 덧없는지..."
"Gruesome wounds!","끔찍한 상처!"
"So easily broken...","너무 쉽게 부서지는..."
"Those injuries...","그 상처들..."
"Can it all end so quickly?","모든 것이 그렇게 빨리 끝날 수 있습니까?"
"Our time in ","우리의 시간 "
" is so brief..."," 너무 짧다..."
"Death...","죽음..."
"Death is all around us.","죽음은 우리 주변에 있습니다."
" is really dead."," 정말 죽었다."
", slayer of ",", 살해자 "
" has killed."," 죽였다."
", slayer.",", 살해자."
"Slayer.","살해자."
"Oh, where is ","오, 어디야 "
"I am separated from ","나는 ~와 분리되어 있다 "
"I am reunited with my ","나는 나의 재회 "
"I am together with my ","나는 나의 것과 함께 있다 "
"I defeated ","나는 패배했다 "
"I abducted ","나는 납치했다 "
"I murdered ","내가 죽였어 "
"I have a part in this.","나는 이것에 부분이 있습니다."
"I cannot just stand by.","나는 그냥 서있을 수 없습니다."
"This is my fight too.","이것은 나의 싸움이기도 하다."
"You can't take me alive!","날 산 채로 데려갈 수 없어!"
"I won't go down without a fight!","나는 싸우지 않고는 내려가지 않을 것이다!"
"I asked to become a citizen.","나는 시민이 되라고 요청했습니다."
"I brought up the lack of jobs in a meeting.","나는 회의에서 일자리 부족을 꺼냈다."
"I made a suggestion about work allocations in a meeting.","회의에서 작업 할당에 대한 제안을 했습니다."
"I requested that more weapons be produced in a meeting.","나는 회의에서 더 많은 무기를 생산할 것을 요청했습니다."
"I complained to my priest.","나는 신부님에게 불평했습니다."
"I cried on my priest.","나는 사제에게 울었다."
"I yelled at somebody in charge.","나는 책임자에게 소리쳤다."
"I cried on somebody in charge.","나는 책임자에게 울었다."
"I told somebody that I am being prevented from leaving.","나는 누군가에게 내가 떠나는 것을 막고 있다고 말했습니다."
"I was cried on by an unhappy worshipper.","나는 불행한 숭배자에게 울었습니다."
"I was yelled at by an unhappy worshipper.","나는 불행한 숭배자에게 소리를 질렀습니다."
"A visitor complained about being prevented from leaving.","한 방문자가 떠나지 못한다고 불평했습니다."
"I was cried on by an unhappy citizen.","나는 불행한 시민에 의해 울었습니다."
"I was yelled at by an unhappy citizen.","나는 불행한 시민에게 소리를 질렀습니다."
"a piece","한 조각"
" on display"," 디스플레이"
" in my personal museum"," 내 개인 박물관에서"
"I was near to ","나는 근처에 있었다 "
"my own","내것의"
"arranged ","배열 "
"I lost a pet.","애완동물을 잃었습니다."
"I threw something.","나는 무언가를 던졌다."
"I was released from confinement.","나는 감금에서 풀려났다."
"I lost the baby.","나는 아기를 잃었다."
"My spouse lost the baby.","배우자가 아기를 잃었습니다."
"I am wearing old clothes.","나는 낡은 옷을 입고 있다."
"My clothes are in tatters.","내 옷이 너덜너덜해졌어."
"My clothes actually rotted right off of my body.","내 옷은 실제로 내 몸에서 바로 썩었습니다."
"I had a nightmare about my deceased pet.","죽은 애완 동물에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased spouse.","나는 죽은 배우자에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased lover.","나는 죽은 애인에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased sibling.","나는 죽은 형제에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased mother.","돌아가신 어머니에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased father.","돌아가신 아버지에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased child.","죽은 아이에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased animal training partner.","죽은 동물 훈련 파트너에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased friend.","죽은 친구에 대한 악몽을 꾸었습니다."
"I had a nightmare about my deceased acquaintance.","죽은 지인에 대한 악몽을 꾸었습니다."
"I had a nightmare about the dead.","나는 죽은 자에 대한 악몽을 꾸었습니다."
"tortured","고문"
"possessed","소유"
"tormented","괴로워하는"
"haunted","유령"
"I was ","나는 ~였다 "
"the ghost of a pet","애완동물의 유령"
"the ghost of my spouse","내 배우자의 유령"
"the ghost of my lover","내 연인의 유령"
"the ghost of my sibling","내 동생의 유령"
"the ghost of my mother","내 어머니의 유령"
"the ghost of my father","아버지의 유령"
"the ghost of my child","내 아이의 유령"
"the ghost of my animal training partner","내 동물 훈련 파트너의 유령"
"the ghost of my friend","내 친구의 유령"
"the ghost of an acquaintance","지인의 유령"
"a ghost","유령"
"I did my combat drills.","나는 전투 훈련을 했다."
"I practiced at the archery target.","양궁 과녁에서 연습했습니다."
"I had a sparring session.","스파링 시간을 가졌습니다."
"I was not able to petition for citizenship.","시민권을 신청할 수 없었습니다."
"I was not able to bring up the lack of jobs.","나는 일자리 부족을 꺼낼 수 없었다."
"I was not able to make suggestions about work allocations.","작업 할당에 대한 제안을 할 수 없었습니다."
"I was unable to request weapon production.","무기 제작 의뢰를 할 수 없었습니다."
"I could not find a priest to complain at.","나는 불평할 사제를 찾을 수 없었다."
"I could not find a priest to comfort me.","나를 위로해 줄 신부를 찾을 수 없었다."
"I could not find anybody in charge to complain at.","나는 불평할 담당자를 찾을 수 없었다."
"I could not find anybody in charge to comfort me.","나를 위로해 줄 책임자를 찾을 수 없었다."
"I've been on a long patrol.","긴 순찰을 다녀왔습니다."
"I was nauseated by the sun.","나는 태양에 구역질이 났다."
"I've been out in the sunshine again after a long time away.","오랜만에 햇빛을 받으며 다시 나왔어요."
"I'm sleepy.","졸려."
"I haven't slept for a very long time.","나는 아주 오랫동안 잠을 자지 않았다."
"I'm thirsty.","나는 목이 마르다."
"I'm dehydrated.","나는 탈수 상태입니다."
"I'm hungry.","배고파."
"I'm starving.","배고파 죽겠 어."
"I have been away from people for a long time.","나는 오랫동안 사람들과 떨어져 있었습니다."
"I need a drink.","뭘 좀 마셔야 겠어."
"I must pray to ","나는 기도해야 한다 "
"I need time to contemplate.","생각할 시간이 필요합니다."
"I need something to do.","할 일이 필요해."
"It has been long time since I've done something creative.","창의적인 일을 한 지 오래되었습니다."
"I miss having art in my life.","나는 내 인생에서 예술이 그리워요."
"I need some excitement in my life.","나는 내 삶에 약간의 흥분이 필요합니다."
"I need to learn something new.","나는 새로운 것을 배울 필요가 있다."
"I want to spend some time with family.","가족과 시간을 보내고 싶습니다."
"I want to see my friends.","친구들을 보고 싶어요."
"I'd like to hear somebody eloquent.","나는 누군가에게 유창한 말을 듣고 싶습니다."
"I long to uphold the traditions.","전통을 지키고 싶습니다."
"I need to pause and reflect upon myself.","잠시 멈추고 나 자신을 반성해야 합니다."
"We must make merry again.","우리는 다시 즐겁게 해야 합니다."
"I wish to make something.","나는 무언가를 만들고 싶다."
"I must practice the fighting arts.","나는 무술을 연습해야 한다."
"I need to perfect my skills.","내 능력을 완성해야 합니다."
"I just want to slow down and take it easy for a while.","나는 단지 속도를 늦추고 잠시 쉬고 싶습니다."
"I long to make romance.","나는 로맨스를 갈망한다."
"It would nice to get out in nature and see some creatures.","자연으로 나가서 몇몇 생물들을 보는 것이 좋을 것입니다."
"I want to see a great beast.","나는 거대한 짐승을 보고 싶다."
"I need more.","더 필요해."
"I could really use a good meal.","정말 좋은 식사를 할 수 있습니다."
"I just want to fight somebody.","난 그저 누군가와 싸우고 싶을 뿐이야."
"This place could really use some more trouble.","이 장소는 실제로 더 많은 문제를 사용할 수 있습니다."
"I'm feeling argumentative.","논쟁의 여지가 있습니다."
"I need to wear fine things.","나는 좋은 것을 입어야합니다."
"I need to get away from here and wander the world.","여기서 벗어나 세상을 떠돌아다녀야 한다."
"I just wish to help somebody.","누군가를 돕고 싶을 뿐입니다."
"I want to puzzle over something.","나는 무언가를 수수께끼로 만들고 싶다."
"I have unmet needs.","나는 충족되지 않은 필요가 있습니다."
"I've been injured badly.","심하게 다쳤어요."
"I've been wounded.","나는 상처를 입었다."
"I couldn't sleep at all with all the noise.","시끄러운 소리에 잠을 한숨도 못 잤다."
"It was very hard to sleep with the noise.","시끄러운 소리에 잠을 자기가 너무 힘들었습니다."
"I didn't sleep soundly due to the noise.","소음 때문에 잠을 제대로 못 잤어요."
"I was able to rest up.","쉴 수 있었습니다."
"I was caught in freakish weather.","변덕스러운 날씨에 사로잡혔습니다."
"It was raining on me.","나에게 비가 내리고 있었다."
"I've been rained on.","나는 비가 내렸다."
"I was out in the rain.","나는 비를 맞고 있었다."
"It was snowing on me.","나에게 눈이 내리고 있었다."
"I was out in a blizzard.","나는 눈보라 속에 있었다."
"I was in a snow storm.","나는 눈보라 속에 있었다."
"I got caught in a miasma.","나는 독기에 걸렸다."
"I was caught in smoke underground.","나는 지하에서 연기에 휩싸였다."
"I was close to a waterfall.","나는 폭포에 가까웠다."
"I got caught in dust underground.","지하 먼지에 갇혔습니다."
"I was considering the demands I've made.","나는 내가 한 요구를 고려하고 있었다."
"My punishment was reduced.","내 형벌이 경감되었습니다."
"I won the election.","나는 선거에서 이겼다."
"I was re-elected.","나는 재선되었다."
" has been recognized."," 인식되었습니다."
" will be recognized."," 인식됩니다."
"I can now reside in ","이제 거주할 수 있습니다 "
"I am now part of ","나는 이제 "
"I was denied residency in ","거주거부당했습니다 "
"The temple petition for ","성전 탄원서 "
" was rejected."," 거부되었습니다."
" was ignored."," 무시했다."
"The agreement to establish a temple for ","을 위한 성전 건립 협약 "
" was abandoned."," 버려졌다."
"The guildhall petition for ","길드홀 청원 "
"The agreement to establish a guildhall for ","길드홀 설립 협약 "
"I was rejected by ","나는 거절당했다 "
"My request was approved.","내 요청이 승인되었습니다."
"My request was ignored.","내 요청이 무시되었습니다."
"Nobody could be punished for failing to obey my commands.","아무도 내 명령에 따르지 않는다고 벌을 받을 수는 없었다."
"My punishment was delayed.","내 처벌이 지연되었습니다."
"A criminal's punishment was delayed.","범죄자의 처벌이 지연되었습니다."
"There are not enough cages and chains.","우리와 사슬이 충분하지 않습니다."
"My mandate was ignored.","내 권한은 무시되었습니다."
"A mandate deadline was missed.","위임 마감일을 놓쳤습니다."
"There wasn't enough work last season.","지난 시즌에는 일이 충분하지 않았습니다."
"I smashed up a building.","나는 건물을 부수었다."
"I toppled something over.","나는 무언가를 넘어뜨렸다."
"I have attained a higher rank of nobility.","나는 더 높은 등급의 귀족을 얻었습니다."
"I have entered the nobility.","나는 귀족에 들어갔다."
"I was knocked out by a cave-in.","나는 함몰에 의해 쓰러졌다."
"My deadline was met.","기한이 맞았습니다."
"I am uncovered.","나는 폭로되었다."
"I don't have a shirt.","셔츠가 없어요."
"I have no shoes.","나는 신발이 없다."
"I had to eat my beloved pet to survive.","나는 살아남기 위해 사랑하는 애완동물을 먹어야만 했다."
"I had to eat one of my favorite animals to survive.","나는 살아남기 위해 내가 가장 좋아하는 동물 중 하나를 먹어야 했다."
"I had to eat vermin to survive.","나는 살아남기 위해 벌레를 먹어야만 했다."
"I started a fist fight.","주먹다짐을 시작했습니다."
"I beat somebody as a punishment.","벌로 누군가를 때렸습니다."
"I was beaten as a punishment.","벌칙으로 맞았습니다."
"I was beat somebody with the hammer.","누군가를 망치로 때렸습니다."
"I was beaten with the hammer.","망치로 때렸습니다."
"I could not find the hammer.","나는 망치를 찾을 수 없었다."
"I have been eating the same old food.","나는 똑같은 오래된 음식을 먹고 있습니다."
"I ate rotten food.","나는 썩은 음식을 먹었다."
"I put on a","나는 입었다"
" truly splendid"," 정말 훌륭하다"
" item."," 안건."
"n exceptional","예외적"
" superior"," 우수한"
" finely-crafted"," 정교하게 만들어진"
" well-crafted"," 잘 만들어진"
"I ate a meal.","나는 식사를 했다."
"I had a drink.","나는 술을 마셨다."
"I don't have enough chests.","상자가 부족합니다."
"I don't have enough cabinets.","나는 옷장이 모자라"
"I don't have enough weapon racks.","무기 거치대가 부족합니다."
"I don't have enough armor stands.","방어구 거치대가 부족합니다."
"Somebody has better ","누군가가 더 나은 "
"burial","매장"
" arrangements than I do."," 나보다 편곡."
"dining","식사"
"sleeping","자고 있는"
"There aren't enough dining tables.","식탁이 부족합니다."
"I ate at a crowded table.","붐비는 테이블에서 먹었습니다."
"I ate in a dining room.","나는 식당에서 식사를 했다."
"I didn't have a dining room.","나는 식당이 없었습니다."
"There aren't enough chairs.","의자가 부족합니다."
"I formed a bond with my animal training partner.","동물 훈련 파트너와 유대감을 형성했습니다."
"I was rescued.","나는 구조되었다."
"I brought somebody to rest in bed.","나는 누군가를 침대에서 쉬게 했습니다."
"I felled a tree.","나는 나무를 쓰러뜨렸다."
"I slaughtered an animal.","나는 동물을 도살했다."
"I put a creature in a cage.","나는 새장에 생물을 넣었습니다."
"I chained up a creature.","나는 생물을 묶었습니다."
"I gelded a creature.","나는 생물을 겔화했습니다."
"I put a piece on display.","작품을 전시해두었습니다."
"I finished up some work.","몇 가지 작업을 마쳤습니다."
"The tax collector's escorts stole my property.","세금 징수원의 에스코트가 내 재산을 훔쳤습니다."
"I lost some property to taxes.","나는 세금으로 재산을 잃었습니다."
"I do not have adequate protection.","나는 적절한 보호 장치가 없습니다."
"I was unable to reach a room during tax collection.","세금 징수 중에 방에 들어갈 수 없었습니다."
"I was misinformed about a room during tax collection.","세금 징수 중에 방에 대한 잘못된 정보를 받았습니다."
"I pleased the nobility.","나는 귀족을 기쁘게 생각합니다."
"Tax collection went smoothly.","세금 징수가 순조롭게 진행되었습니다."
"I disappointed the nobility.","나는 귀족을 실망시켰다."
"The tax collection did not go smoothly.","세금 징수가 순조롭게 진행되지 않았습니다."
"I made ","내가 만든 "
"friends with ","와 친구 "
"a new friend","새로운 친구"
"I got into an argument","나는 논쟁에 빠졌다"
"I am forming a grudge against ","나는 원한을 품고있다. "
"I was accosted by ","나는 접근했다 "
"I was pestered by ","나는 괴롭혔다 "
" was given away."," 주어졌다."
"I acquired ","나는 취득했다 "
"I acquired something.","나는 무언가를 얻었다."
"I adopted a new pet.","새 애완동물을 입양했습니다."
"I played with my pet.","나는 애완 동물과 놀았다."
"I was confined.","나는 감금되었다."
"There was a scholarly lecture in ","에서 학술강연이 있었다. "
"There was a performance in ","에서 공연이 있었습니다. "
"I was expelled.","나는 추방당했다."
" was expelled."," 추방되었다."
"A child was turned away from sanctuary.","한 아이가 성역에서 쫓겨났습니다."
"Somebody dead was convicted of a crime.","죽은 사람이 범죄로 유죄 판결을 받았습니다."
"An animal was convicted of a crime.","동물이 범죄로 유죄 판결을 받았습니다."
"The victim of a crime was somehow convicted of that very offense.","범죄의 피해자는 어떻게든 바로 그 범죄에 대해 유죄 판결을 받았습니다."
"The criminal was convicted and I received justice.","범죄자는 유죄 판결을 받았고 나는 정의를 받았습니다."
"My family received justice when the criminal was convicted.","범죄자가 유죄 판결을 받았을 때 우리 가족은 정의를 받았습니다."
"I had a bath.","나는 목욕을 했다."
"I had a bath with soap!","비누로 목욕했어요!"
"I killed somebody in a sparring accident.","나는 스파링 사고로 누군가를 죽였습니다."
"I was attacked.","나는 공격을 받았다."
"I was attacked by the dead.","나는 죽은 자의 공격을 받았습니다."
"I was attacked by my own dead ","나는 내 자신의 죽음에 의해 공격을 받았다 "
"I have been drinking the same old booze.","나는 같은 오래된 술을 마시고 있습니다."
"I drank bloody water.","나는 피 묻은 물을 마셨다."
"I drank slime.","나는 슬라임을 마셨다."
"I drank vomit.","나는 구토물을 마셨다."
"I drank gooey water.","나는 끈적 끈적한 물을 마셨다."
"I drank water mixed with ichor.","나는 수액이 섞인 물을 마셨다."
"I drank water mixed with pus.","나는 고름이 섞인 물을 마셨다."
"I drank foul water.","더러운 물을 마셨습니다."
"I had a drink, but it had gone bad.","나는 술을 마셨지만 상태가 좋지 않았다."
"I drank water without a well.","나는 우물 없이 물을 마셨다."
"I had a drink without using a goblet.","잔을 사용하지 않고 마셨습니다."
"I was near to a caged ","나는 철창 근처에 있었다 "
"I slept without a proper room.","마땅한 방도 없이 잠을 잤다."
"I slept in a bedroom.","나는 침실에서 잤다."
"I slept on the floor.","나는 바닥에서 잤다."
"I slept in the mud.","나는 진흙 속에서 잤다."
"I slept in the grass.","나는 풀밭에서 잤다."
"I slept on a rough cave floor.","나는 거친 동굴 바닥에서 잤다."
"I slept on rocks.","나는 바위 위에서 잤다."
"I slept on ice.","나는 얼음 위에서 잤다."
"I slept in the dirt.","나는 흙 속에서 잤다."
"I slept on a pile of driftwood.","나는 유목 더미에서 잤다."
"My artwork was defaced.","내 작품이 손상되었습니다."
"I was evicted.","나는 퇴거 당했다."
"I taught ","나는 가르쳤다 "
"I learned about ","나는에 대해 배웠다 "
"I wrote ","나는 썼다 "
"I read ","나는 읽었다 "
"I learned ","나는 배웠다 "
"an untitled composition","제목 없는 작품"
"powerful knowledge","강력한 지식"
"I've made a breakthrough regarding ","관련하여 돌파구를 마련했습니다. "
"I just don't understand ","이해가 안 돼요 "
"I've been discussing ","나는 논의하고있다 "
"I've been mulling over ","고민해봤어 "
"I gave birth to ","내가 낳았다 "
"I have become a parent","나는 부모가 되었다"
"I have new siblings.","나는 새로운 형제 자매가 있습니다."
"I have a new sibling.","나는 새로운 형제가 있습니다."
"I got married.","나는 결혼했다."
"I received water.","물을 받았습니다."
"I gave somebody water.","나는 누군가에게 물을 주었다."
"I received food.","음식을 받았습니다."
"I gave somebody food.","나는 누군가에게 음식을 주었다."
"There was an incident.","사건이 있었습니다."
"The body of ","의 몸 "
"my pet","내 애완동물"
" decayed without burial."," 매장되지 않고 부패했다."
"my spouse","내 배우자"
"my lover","내 애인"
"my sibling","내 동생"
"my mother","내 어머니"
"my father","내 아버지"
"my child","내 아이"
"my animal training partner","내 동물 훈련 파트너"
"my acquaintance","내 지인"
"I had an intellectual discussion with my spouse.","나는 배우자와 지적인 토론을 했다."
"I had an intellectual discussion with my lover.","나는 애인과 지적인 토론을 했다."
"I had an intellectual discussion with my sibling.","나는 동생과 지적인 토론을 했다."
"I had an intellectual discussion with my mother.","나는 어머니와 지적인 토론을 했다."
"I had an intellectual discussion with my father.","나는 아버지와 지적 토론을 했다."
"I had an intellectual discussion with my child.","나는 아이와 지적인 토론을 했다."
"I had an intellectual discussion with my friend.","나는 친구와 지적 토론을 했다."
"I had an intellectual discussion with an acquaintance.","나는 지인과 지적인 토론을 했다."
"I had an intellectual discussion with somebody.","나는 누군가와 지적인 토론을 했다."
"I shared a personal insight with my spouse.","배우자와 개인적인 통찰을 나누었습니다."
"I shared a personal insight with my lover.","나는 연인과 개인적인 통찰력을 공유했습니다."
"I shared a personal insight with my sibling.","개인적인 통찰을 동생과 나누었습니다."
"I shared a personal insight with my mother.","어머니와 개인적인 통찰을 나눴습니다."
"I shared a personal insight with my father.","나는 개인적인 통찰을 아버지와 나누었습니다."
"I shared a personal insight with my child.","나는 개인적인 통찰력을 내 아이와 공유했습니다."
"I shared a personal insight with my friend.","개인적인 통찰을 친구와 공유했습니다."
"I shared a personal insight with an acquaintance.","나는 지인과 개인적인 통찰력을 공유했습니다."
"I shared a personal insight with somebody.","나는 누군가와 개인적인 통찰력을 공유했습니다."
"My spouse shared a personal insight with me.","배우자가 개인적인 통찰력을 나와 공유했습니다."
"My lover shared a personal insight with me.","내 애인은 나와 개인적인 통찰력을 공유했습니다."
"My sibling shared a personal insight with me.","내 형제는 나와 개인적인 통찰력을 공유했습니다."
"My mother shared a personal insight with me.","어머니는 개인적인 통찰을 저와 공유하셨습니다."
"My father shared a personal insight with me.","아버지는 개인적인 통찰을 저와 공유하셨습니다."
"My child shared a personal insight with me.","우리 아이는 개인적인 통찰력을 나와 공유했습니다."
"My friend shared a personal insight with me.","내 친구는 개인적인 통찰력을 나와 공유했습니다."
"An acquaintance shared a personal insight with me.","지인이 나와 개인적인 통찰력을 공유했습니다."
"Somebody shared a personal insight with me.","누군가 나와 개인적인 통찰력을 공유했습니다."
"I discussed my problems with my spouse.","나는 내 문제를 배우자와 상의했다."
"I discussed my problems with my lover.","나는 애인과 내 문제를 논의했습니다."
"I discussed my problems with my sibling.","나는 내 문제를 동생과 상의했다."
"I discussed my problems with my mother.","나는 내 문제를 어머니와 상의했다."
"I discussed my problems with my father.","나는 내 문제를 아버지와 상의했다."
"I discussed my problems with my child.","나는 내 문제를 내 아이와 상의했다."
"I discussed my problems with my friend.","나는 내 문제를 친구와 상의했다."
"I discussed my problems with an acquaintance.","나는 지인과 내 문제를 논의했다."
"I discussed my problems with somebody.","나는 누군가와 내 문제를 논의했습니다."
"My spouse discussed their problems with me.","배우자는 문제를 나와 상의했습니다."
"My lover discussed their problems with me.","내 애인은 그들의 문제를 나와 상의했다."
"My sibling discussed their problems with me.","내 형제는 그들의 문제를 나와 상의했다."
"My mother discussed their problems with me.","어머니는 그들의 문제를 나와 상의하셨습니다."
"My father discussed their problems with me.","아버지는 그들의 문제를 나와 상의했습니다."
"My child discussed their problems with me.","우리 아이는 그들의 문제를 나와 상의했습니다."
"My friend discussed their problems with me.","내 친구는 그들의 문제를 나와 상의했다."
"An acquaintance discussed their problems with me.","지인이 나와 문제를 논의했습니다."
"Somebody discussed their problems with me.","누군가 나와 그들의 문제를 논의했습니다."
"I visited with my pet.","반려동물과 함께 방문했습니다."
"I talked to my spouse.","나는 배우자와 이야기했다."
"I talked to my lover.","나는 내 연인과 이야기했다."
"I talked to my sibling.","동생과 이야기를 나눴습니다."
"I talked to my mother.","나는 어머니와 이야기했습니다."
"I talked to my father.","나는 아버지와 이야기했다."
"I talked to my child.","나는 내 아이와 이야기했다."
"I visited with my animal training partner.","나는 동물 훈련 파트너와 함께 방문했습니다."
"I talked to my friend.","나는 내 친구와 이야기했다."
"I talked to an acquaintance.","나는 지인과 이야기했다."
"I talked to somebody.","나는 누군가와 이야기했다."
"I conducted a meeting in ","에서 회의를 진행했습니다. "
"a setting worthy of legends","전설에 걸맞은 설정"
"a fantastic setting","환상적인 설정"
"a great setting","훌륭한 설정"
"a very good setting","아주 좋은 설정"
"a good setting","좋은 설정"
"a horribly substandard setting","끔찍하게 표준 이하의 설정"
"a horrible setting","끔찍한 설정"
"an awful setting","끔찍한 설정"
"a very poor setting","매우 열악한 설정"
"a poor setting","열악한 환경"
"I conducted an official meeting in a bedroom.","침실에서 공식 회의를 진행했습니다."
"I conducted an official meeting in a dining room.","식당에서 공식 회의를 진행했습니다."
"I had no room for an official meeting.","나는 공식 회의를 할 자리가 없었다."
"I thought about my tomb.","나는 내 무덤에 대해 생각했다."
"I do not have a tomb.","나는 무덤이 없다."
"I talked to somebody important to our traditions.","나는 우리 전통에 중요한 누군가와 이야기를 나눴다."
"It was","그것은"
"I prey on the blood of civilized creatures.","나는 문명화된 생물의 피를 먹고 산다."
"I am unnaturally ageless.","나는 부자연스럽게 늙지 않는다."
"I accepted bribed in exchange for offering leniency.","나는 관대함을 제공하는 대가로 뇌물을 받았습니다."
"I embezzled funds.","자금을 횡령했습니다."
"I received a cut of corruptly-obtained funds.","부정하게 취득한 자금의 일부를 받았습니다."
"I was far away.","나는 멀리 있었다."
"I was on an infiltration mission.","나는 잠입 임무를 수행하고 있었다."
"This must be stopped by any means at our disposal.","이것은 우리가 마음대로 할 수 있는 어떤 수단으로든 막아야 합니다."
"It is terrifying.","끔찍하다."
"I don't know anything about that.","나는 그것에 대해 아무것도 모른다."
"I hate it.","싫어."
"I am afraid of it.","나는 그것이 두렵다."
"That is sad but not unexpected.","슬프지만 예상치 못한 것은 아닙니다."
"That is terrible.","그것은 끔찍하다."
"That's terrific!","굉장하네요!"
"It accords with my faith.","내 믿음과 일치합니다."
"Preaching is my calling.","설교는 나의 소명입니다."
"I enjoyed performing.","나는 공연을 즐겼다."
"It was legendary.","전설적이었습니다."
"It was fantastic.","환상적이었습니다."
"It was great.","그것은 훌륭했다."
"It was good.","좋았어."
"It was okay.","괜찮 았어."
"I'm conflicted.","나는 갈등한다."
"I concur!","동의합니다!"
"Truly.","진심으로."
"No doubt.","의심의 여지가 없습니다."
"So true, so true.","정말 사실입니다."
"I agree completely.","전적으로 동의합니다."
"This preacher","이 설교자는"
"This storyteller","이 이야기꾼"
"This recitation","이 암송"
"That sounds just like the ","그 소리는 "
"This ","이것 "
" player"," 플레이어"
"This singer","이 가수"
"This chanter","이 성가"
"This dancer","이 댄서"
" is fantastic!"," 환상적이다!"
" is awesome!"," 굉장하다!"
" is magnificant!"," 대단하다!"
"?  Unbelievable talent!","? "
".  How can I even describe the skill?",". "
" is legendary."," 전설적이다."
"!  Amazing ability.","! "
"That sounds almost like the ","그 소리는 거의 "
" shows such talent."," 그런 재능을 보여줍니다."
" is really quite good!"," 정말 꽤 좋습니다!"
" is splendid."," 훌륭하다."
" is great."," 중대하다."
"That sounds like the ","그 소리는 "
" has promise."," 약속이 있습니다."
" is alright!"," 괜찮아!"
" is pretty good."," 꽤 좋습니다."
" is good."," 좋다."
"That sounds vaguely like the ","어렴풋이 처럼 들린다. "
" is okay."," 괜찮다."
" is fine."," 괜찮습니다."
" is alright."," 괜찮아."
" could be better."," 더 좋을 수 있습니다."
" could be worse."," 더 나쁠 수 있습니다."
" is middling."," 중간이다."
"Is that supposed to be the ","그게 이어야 하는가? "
" is no good."," 좋지 않다."
" stinks!"," 악취!"
" is lousy."," 형편없다."
" is a waste of time."," 시간 낭비입니다."
" couldn't be much worse."," 이보다 더 나쁠 수는 없습니다."
" is terrible."," 끔찍하다."
" is just bad."," 그냥 나쁘다."
" doesn't belong here."," 여기에 속하지 않습니다."
" makes me retch."," 구역질이 난다."
"?  Awful.","? "
"This is my favorite dance.","제가 가장 좋아하는 춤입니다."
"The accompaniment is my favorite music.","반주는 제가 가장 좋아하는 음악입니다."
"This is my favorite music.","이것은 내가 가장 좋아하는 음악입니다."
"This is my favorite poetry.","제가 가장 좋아하는 시입니다."
"The lyrics of the accompaniment are my favorite poetry.","반주의 가사는 제가 가장 좋아하는 시입니다."
"The lyrics are my favorite poetry.","가사는 제가 가장 좋아하는 시입니다."
"I love reflective poetry.","나는 성찰적 시를 좋아합니다."
"I love the reflective lyrics of the accompaniment.","나는 반주의 반사적인 가사를 좋아합니다."
"I love the reflective lyrics.","반영구적인 가사가 좋아요."
"I hate self-absorbed poetry.","나는 자기 도취적인 시를 싫어합니다."
"I hate the self-absorbed lyrics of the accompaniment.","자기도취적인 반주의 가사가 싫다."
"I hate the self-absorbed lyrics.","자기도취적인 가사가 싫다."
"I love riddles.","나는 수수께끼를 좋아합니다."
"I love the riddle in the lyrics of the accompaniment.","나는 반주 가사의 수수께끼를 좋아합니다."
"I love the riddle in the lyrics.","나는 가사의 수수께끼를 좋아합니다."
"I hate riddles.","나는 수수께끼가 싫어."
"Why is there a riddle in the lyrics of the accompaniment?  I hate riddles.","반주 가사에 왜 숨겨진 말이 있는 거죠? 저는 수수께끼를 싫어한단 말이에요."
"Why is there a riddle in the lyrics?  I hate riddles.","가사에 수수께끼가 있는 이유는? "
"This poetry is so embarrassing!","이 시는 너무 창피해!"
"The lyrics of the accompaniment are so embarrassing!","반주 가사가 너무 부끄러워요!"
"This poetry is so funny!","이 시가 너무 재미있어요!"
"The lyrics of the accompaniment are so funny!","반주 가사가 너무 웃겨요!"
"The lyrics are so funny!","가사가 너무 웃겨요!"
"I love raunchy poetry!","난 야한 시를 좋아해!"
"I love the raunchy lyrics of the accompaniment!","나는 반주의 야한 가사를 좋아한다!"
"I love the raunchy lyrics!","난 야한 가사가 좋아!"
"I love ribald poetry.","나는 ribald시를 좋아합니다."
"I love the ribald lyrics of the accompaniment.","나는 반주의 ribald 가사를 좋아합니다."
"I love the ribald lyrics.","나는 ribald 가사를 좋아합니다."
